id,count
998,341.045
999,203.35
1006,101.81
1008,18.19
1013,27.115
1015,107.00375
1016,141.365
1022,320.065
1026,218.1
1028,242.41
1031,94.11
1034,51.385
1037,186.21
1040,64.01
1042,16.92
1046,15.01
1048,109.1525
1049,104.635
1050,58.065
1051,191.355
1052,234.05
1055,232.645
1060,129.86
1064,26.3
1066,68.59
1071,104.675
1073,15.15
1089,159.275
1091,132.87
1092,60.24375
1093,240.6
1096,336.04
1097,235.36583333333337
1098,18.008333333333336
1099,43.57
1102,212.43
1107,103.205
1109,46.25
1111,193.635
1112,112.625
1114,299.595
1116,283.9
1117,148.4
1118,105.72
1122,187.355
1124,139.55
1127,127.12
1133,249.96
1134,45.375
1135,222.17
1139,306.83
1143,67.19
1150,128.555
1151,92.08
1153,283.9
1155,27.48
1162,23.655
1163,197.72
1166,22.085
1171,81.445
1172,16.5785
1173,227.7725
1174,95.69875
1177,106.045
1178,222.825
1184,229.375
1185,100.16125
1186,127.635
1187,165.715
1188,279.055
1191,141.055
1207,97.395
1213,43.57
1215,144.605
1223,255.45
1227,99.955
1236,67.295
1237,60.165
1238,21.725
1241,25.34
1248,13.56
1250,44.59
1251,137.0
1253,122.145
1255,108.16
1257,255.45
1261,126.405
1262,366.28
1265,189.235
1273,157.28
1277,280.275
1278,137.05
1280,127.08
1284,234.375
1285,334.225
1288,34.075
1295,96.685
1297,391.435
1299,236.975
1304,148.985
1308,45.21
1310,102.17
1311,148.66
1314,98.97
1315,99.34
1318,43.705
1320,339.365
1321,289.475
1322,241.345
1330,113.39
1333,144.175
1334,223.745
1341,167.62
1344,182.595
1351,247.145
1354,99.53
1356,65.625
1363,98.22875
1365,211.305
1369,145.26
1373,128.58
1375,99.25875
1377,85.82
1379,208.24
1380,289.755
1381,96.34
1384,178.015
1390,205.255
1393,236.825
1395,65.075
1399,340.175
1400,94.42
1401,184.26
1404,122.735
1408,15.005
1409,28.855
1413,214.91
1416,278.275
1418,100.04125
1423,105.225
1424,27.48
1425,15.95
1433,181.19
1434,172.15
1436,327.115
1442,259.15
1444,85.845
1445,148.54
1452,161.46
1455,141.655
1462,67.03
1467,91.36875
1472,42.04
1475,237.705
1493,120.575
1501,197.28
1503,306.715
1504,235.985
1505,16.8025
1511,164.775
1512,61.395
1513,119.78
1514,40.065
1528,194.685
1533,250.33
1534,25.38
1536,146.54
1537,55.289249999999996
1539,267.185
1550,229.7
1552,211.2925
1554,195.41
1555,382.115
1556,95.35
1559,39.01
1563,211.09
1566,195.43
1567,222.6
1568,23.525
1571,231.62583333333336
1572,15.05
1574,58.065
1577,17.62
1583,115.43
1585,33.49
1586,200.06
1587,218.665
1596,142.96
1602,46.415
1604,94.21875
1605,43.255
1610,303.515
1611,96.72
1616,34.075
1617,97.28875
1618,16.665
1622,35.495
1623,33.73
1628,306.8
1631,14.955
1632,138.42
1633,236.215
1634,333.76
1636,256.58
1637,101.56625
1643,164.42
1644,101.395
1646,104.09
1648,187.02833333333336
1651,43.805
1656,18.923666666666666
1658,124.87
1659,17.72
1665,231.105
1666,152.64
1670,46.375
1674,199.10416666666663
1679,246.785
1680,252.935
1683,325.885
1686,24.65
1691,98.42
1693,39.485
1696,41.68
1697,100.09
1703,103.19
1706,27.29
1709,211.33
1710,85.845
1712,189.715
1713,139.27
1718,388.13
1719,187.51
1722,273.26
1723,117.965
1724,288.33
1728,87.005
1730,28.535
1732,26.72
1737,46.285
1745,85.84
1747,16.41
1748,16.73
1755,131.515
1759,13.445
1761,283.9
1764,240.42
1765,140.37
1766,87.12
1768,100.725
1770,24.0
1771,143.165
1774,90.915
1785,156.185
1788,221.245
1792,13.46
1794,225.45
1797,144.215
1798,13.025
1799,240.49
1802,98.54375
1806,43.815
1808,76.035
1810,202.81
1818,187.565
1819,395.935
1820,277.385
1822,239.43
1826,249.655
1827,189.34
1835,19.475
1841,92.73
1842,139.645
1843,14.905
1846,37.1
1849,79.16
1850,174.43
1851,226.0
1857,64.17
1858,200.55874999999997
1860,95.115
1861,239.195
1864,125.25
1869,335.67
1871,67.295
1872,41.28
1875,17.4275
1878,225.515
1879,259.855
1885,79.985
1888,77.835
1889,26.155
1890,99.41
1896,182.735
1897,178.5
1898,159.325
1900,87.34
1905,46.375
1908,106.805
1909,100.41125
1913,60.565
1918,125.02
1922,329.15
1923,142.46
1925,286.33
1926,156.75
1927,304.215
1930,196.245
1935,98.97
1939,112.435
1942,91.375
1943,188.83
1948,250.33
1949,281.75
1951,108.7275
1953,91.7
1959,165.625
1963,13.435
1967,138.615
1973,276.56
1975,27.79
1976,91.51
1990,93.345
1993,118.095
1997,220.57
1999,144.99
2001,289.6
2004,95.06
2010,106.0375
2013,146.935
2017,316.23
2021,132.805
2023,216.885
2026,149.61
2037,40.065
2039,238.655
2041,16.83
2046,18.51
2050,15.15
2060,230.05
2067,108.935
2069,144.735
2072,252.47
2074,178.42
2079,115.51
2083,27.37
2085,238.48
2087,19.3
2093,140.48
2094,37.835
2097,46.375
2103,97.02
2104,64.01
2107,204.89
2108,21.96
2110,81.28
2115,253.555
2117,31.68
2125,329.06
2127,221.395
2133,14.115
2134,380.06
2135,134.01
2141,228.555
2143,43.805
2145,87.82
2146,29.955
2147,290.775
2148,66.965
2149,57.435
2165,123.525
2166,189.83
2177,226.735
