title,box_off_num
배꼽,133237.191682412
나가요 미스콜,217630.39719133163
우아한 거짓말,1281432.4047418698
미스터 컴퍼니,92391.75581794322
우리별 일호와 얼룩소,166575.29932477087
찌라시: 위험한 소문,2370810.0387831847
조선미녀삼총사,1042412.9904849402
만찬,1417366.955743693
한 번도 안 해본 여자,163853.41652403923
살인자,253996.56602956582
  이것이 우리의 끝이다,296197.03301281296
그댄 나의 뱀파이어,167782.42881948978
황제를 위하여,915073.3542994324
레디액션! 폭력영화,213795.73483175546
스퀴시랜드,198488.41272065262
우는 남자,1567781.602859978
하이힐,3355625.1635324867
도희야,384525.64874403743
표적,954639.2403797865
10분,141414.9013744729
메이크 유어 무브,440035.02099563443
카토 프로젝트,81098.69158624072
녀녀녀,149993.16510976924
방황하는 칼날,3234342.6648733253
바리새인,120079.99006482211
욕망의 독: 중독,262967.2869607041
설계,257726.3828035277
레쓰링,180995.36171675764
원 컷 - 어느 친절한 살인자의 기록,274450.70936011407
픽업 아티스트,283391.5712081809
옹녀뎐,87236.79432222246
왓니껴,405793.34821571456
족구왕,280193.86245477846
내 연애의 기억,174821.86171824727
바세코의 아이들,123476.86147964912
명량,3660956.7171802917
군도: 민란의 시대,3445710.012987393
산타바바라,4995.947755720795
나는 야한 여자가 좋다,90628.43356496246
숙희,111264.21837402302
더 테너 리리코 스핀토,581975.1987326181
기술자들,1359232.4634036964
신화 라이브 3D 더 레전드 컨티뉴스,211740.8921275623
악사들,124692.95552466519
울언니,55646.70025017364
정사: 위험한 성적유희,168454.63646650594
레디액션 청춘,3403271.0496952087
"제자, 옥한흠",183636.73202196648
환상,96003.98358378118
위층여자,103388.98469839885
가자! 장미여관으로 3 - 방황,159698.44691195822
나는 야한 여자가 좋다 3,90628.43356496246
스물,1012644.4283474081
그라운드의 이방인,348575.8089589163
살인의뢰,919040.7527181061
살인캠프,216165.42384273658
헬머니,1046881.3987587743
조류인간,151690.67663937862
최강전사 미니특공대 : 새로운 악당의 습격,274342.9286504265
생각보다 맑은,168183.66993774605
고양이 장례식,184843.38534367722
설해,415065.7191573384
나의 절친 악당들,1031501.7647143083
연평해전,3355625.1635324867
극비수사,1013630.0701971017
성난 화가,248955.94552016497
은밀한 유혹,1037945.9447097253
혜경궁 홍씨,1371191.6674903017
무뢰한,1881017.4161798663
간신,3700657.3183123292
연애의 맛,836475.7305615386
잡식가족의 딜레마,189964.60861780256
플랑크 상수,57568.45198668699
장수상회,1065031.6359112584
파울볼,92397.32056755053
춘희막이,84430.08520666942
덫: 치명적인 유혹,442217.59884581045
션샤인 러브,321769.7873533664
사도,3355625.1635324867
돼지 같은 여자,165295.41234216918
사랑이 이긴다,-16405.681925461715
슈퍼레이서 엔지,1588471.3740598508
제 7기사단,171633.57842371438
고백,146560.595590147
미쓰 와이프,3660956.7171802917
위로공단,152989.7860144276
베테랑,3700657.3183123292
악인은 살아 있다,323666.0739293527
쓰리 썸머 나잇,1079810.401155201
마돈나,295124.69779846014
"나의 아들, 나의 어머니",168215.09779479078
슬픈남자,156651.6540420774
타이밍,121253.27462082295
타투,324249.89408068906
어떤이의 꿈,54699.271967781024
해에게서 소년에게,143648.57979465288
울보 권투부,136787.11499615418
어떤살인,728621.5900103449
말하지 못한 비밀,174540.3429069154
조선안방 스캔들-칠거지악 2,79783.936051331
